우선순위점수,업종,업체명,주소,네이버플레이스,홈페이지,반응형,발견된문제,추천패키지,전화,이메일,카카오톡,카카오오픈채팅,인스타그램,네이버예약,TM스크립트,문자템플릿,신규여부,수집일시
100,성형외과,서울연세병원,"서울특별시 마포구 용강동 473-1 지하1층, 지상 2층~6층",https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EC%97%B0%EC%84%B8%EB%B3%91%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%9A%A9%EA%B0%95%EB%8F%99%20473-1%20%EC%A7%80%ED%95%981%EC%B8%B5%2C%20%EC%A7%80%EC%83%81%202%EC%B8%B5~6%EC%B8%B5,http://www.syshand.com/,N,비반응형(모바일X) / 전화버튼 없음 / 카톡버튼 없음 / 문의폼 없음 / 지도 없음 / 로딩느림(3.3초),풀 리뉴얼 라이트 (50~80만원),013010701 / 010011401,,,,,,"안녕하세요 대표님. 서울연세병원 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼 없음 상태입니다. 풀 리뉴얼 라이트(50~80만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 서울연세병원 대표님, 모바일에서 비반응형(모바일X), 전화버튼 없음 확인됐습니다. 풀 리뉴얼 라이트 50~80만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:26
90,치과,서울라인치과의원,서울특별시 중구 남대문로2가 130 롯데백화점에비뉴엘 10F,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EB%9D%BC%EC%9D%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EB%82%A8%EB%8C%80%EB%AC%B8%EB%A1%9C2%EA%B0%80%20130%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%EC%97%90%EB%B9%84%EB%89%B4%EC%97%98%2010F,http://www.seoullinedental.co.kr/,N,비반응형(모바일X) / 전화버튼 없음 / 카톡버튼 없음 / 문의폼 없음 / 지도 없음,풀 리뉴얼 라이트 (50~80만원),,,,,,,"안녕하세요 대표님. 서울라인치과의원 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼 없음 상태입니다. 풀 리뉴얼 라이트(50~80만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 서울라인치과의원 대표님, 모바일에서 비반응형(모바일X), 전화버튼 없음 확인됐습니다. 풀 리뉴얼 라이트 50~80만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:57:02
60,치과,서울바움치과의원,서울특별시 중구 서소문동 34 한화빌딩 2층,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EB%B0%94%EC%9B%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EC%84%9C%EC%86%8C%EB%AC%B8%EB%8F%99%2034%20%ED%95%9C%ED%99%94%EB%B9%8C%EB%94%A9%202%EC%B8%B5,https://www.seoulbaum.com/,N,비반응형(모바일X) / 전화버튼 없음 / 지도 없음,모바일 응급팩 (29~35만원),,,https://pf.kakao.com/_xlHKxmxl,,https://instagram.com/seoulbaumdent,https://booking.naver.com/booking/6/bizes/145939,"안녕하세요 대표님. 서울바움치과의원 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼 없음 상태입니다. 모바일 응급팩(29~35만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 서울바움치과의원 대표님, 모바일에서 비반응형(모바일X), 전화버튼 없음 확인됐습니다. 모바일 응급팩 29~35만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:57:07
55,피부과,서울영재의원,서울특별시 용산구 서계동 236-16 2~3층,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EC%98%81%EC%9E%AC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%84%9C%EA%B3%84%EB%8F%99%20236-16%202~3%EC%B8%B5,http://www.goodoc.co.kr/hospitals/16736,Y,전화버튼 없음 / 카톡버튼 없음 / 지도 없음 / 로딩느림(4.4초),전환형 패키지 (19~22만원),02-6406-8000 / 1661-8173 / 03088803088,gdcs@goodoc.co.kr,,,https://instagram.com/goodoc.official,,"안녕하세요 대표님. 서울영재의원 홈페이지 모바일에서 확인해보니 전화버튼 없음, 카톡버튼 없음 상태입니다. 전환형 패키지(19~22만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 서울영재의원 대표님, 모바일에서 전화버튼 없음, 카톡버튼 없음 확인됐습니다. 전환형 패키지 19~22만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:49
50,피부과,세라미크의원 강남,서울특별시 강남구 역삼동 813 B1층~5층,https://map.naver.com/v5/search/%EC%84%B8%EB%9D%BC%EB%AF%B8%ED%81%AC%EC%9D%98%EC%9B%90%20%EA%B0%95%EB%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99%20813%20B1%EC%B8%B5~5%EC%B8%B5,https://www.gangnam.ceramiqueclinic.com,Y,전화버튼 없음 / 카톡버튼 없음 / 문의폼 없음,전환형 패키지 (19~22만원),1585-2835 / 1832-2374 / 1464-6260 / 02-6205-3430 / 031950-9370 / 06-4610-8642,,,,,,"안녕하세요 대표님. 세라미크의원 강남 홈페이지 모바일에서 확인해보니 전화버튼 없음, 카톡버튼 없음 상태입니다. 전환형 패키지(19~22만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 세라미크의원 강남 대표님, 모바일에서 전화버튼 없음, 카톡버튼 없음 확인됐습니다. 전환형 패키지 19~22만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:55
40,피부과,당신만의가치 벨유의원,서울특별시 중구 명동2가 50-1 4층,https://map.naver.com/v5/search/%EB%8B%B9%EC%8B%A0%EB%A7%8C%EC%9D%98%EA%B0%80%EC%B9%98%20%EB%B2%A8%EC%9C%A0%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EB%AA%85%EB%8F%992%EA%B0%80%2050-1%204%EC%B8%B5,http://www.valu-clinic.kr/,N,비반응형(모바일X) / 로딩느림(3.5초),전환형 패키지 (19~22만원),02410071004 / 02-2039-7431 / 02410210947 / 02410210948 / 02410210949,webtick@gmail.com,https://pf.kakao.com/_mxmPxhn,,https://instagram.com/val.u_clinic_official,,"안녕하세요 대표님. 당신만의가치 벨유의원 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 로딩느림(3.5초) 상태입니다. 전환형 패키지(19~22만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 당신만의가치 벨유의원 대표님, 모바일에서 비반응형(모바일X), 로딩느림(3.5초) 확인됐습니다. 전환형 패키지 19~22만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:52
35,치과,미니쉬치과병원,서울특별시 강남구 논현동 98-2,https://map.naver.com/v5/search/%EB%AF%B8%EB%8B%88%EC%89%AC%EC%B9%98%EA%B3%BC%EB%B3%91%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2098-2,https://booking.naver.com/booking/13/bizes/113329?theme=place&lang=ko,Y,카톡버튼 없음 / 지도 없음 / 로딩느림(3.3초),스타터팩 (10~12만원),02-1899-2854 / 1899-2854,nis1021@naver.com,,,https://instagram.com/minish_official,https://booking.naver.com/booking/13/bizes/,"안녕하세요 대표님. 미니쉬치과병원 홈페이지 모바일에서 확인해보니 카톡버튼 없음, 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 미니쉬치과병원 대표님, 모바일에서 카톡버튼 없음, 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:57:20
30,성형외과,압구정서울성형외과의원,서울특별시 강남구 신사동 598 압구정서울성형외과의원,https://map.naver.com/v5/search/%EC%95%95%EA%B5%AC%EC%A0%95%EC%84%9C%EC%9A%B8%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20598%20%EC%95%95%EA%B5%AC%EC%A0%95%EC%84%9C%EC%9A%B8%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90,https://www.asps.co.kr/,Y,전화버튼 없음 / 지도 없음,스타터팩 (10~12만원),02.547.5100,beauty@asps.co.kr,https://pf.kakao.com/_bMkqxd,,,,"안녕하세요 대표님. 압구정서울성형외과의원 홈페이지 모바일에서 확인해보니 전화버튼 없음, 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 압구정서울성형외과의원 대표님, 모바일에서 전화버튼 없음, 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:22
30,성형외과,청담서울성형외과의원,서울특별시 강남구 청담동 46-19,https://map.naver.com/v5/search/%EC%B2%AD%EB%8B%B4%EC%84%9C%EC%9A%B8%EC%84%B1%ED%98%95%EC%99%B8%EA%B3%BC%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%B2%AD%EB%8B%B4%EB%8F%99%2046-19,http://www.cdseoulps.com/,Y,전화버튼 없음 / 지도 없음,스타터팩 (10~12만원),02997941736 / 053061121 / 00046141572 / 03685477600,,,,,,"안녕하세요 대표님. 청담서울성형외과의원 홈페이지 모바일에서 확인해보니 전화버튼 없음, 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 청담서울성형외과의원 대표님, 모바일에서 전화버튼 없음, 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:23
30,피부과,모리스의원,"서울특별시 강남구 역삼동 825-9 9층, 11층",https://map.naver.com/v5/search/%EB%AA%A8%EB%A6%AC%EC%8A%A4%EC%9D%98%EC%9B%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%97%AD%EC%82%BC%EB%8F%99%20825-9%209%EC%B8%B5%2C%2011%EC%B8%B5,https://molessclinic.com/,Y,전화버튼 없음 / 지도 없음,스타터팩 (10~12만원),02-555-6231,,https://pf.kakao.com/_QTxbZn,,https://instagram.com/moless_clinic,https://booking.naver.com/booking/13/bizes/1263656,"안녕하세요 대표님. 모리스의원 홈페이지 모바일에서 확인해보니 전화버튼 없음, 지도 없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선 안내] 모리스의원 대표님, 모바일에서 전화버튼 없음, 지도 없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후 비교 시안 무료 제공. 문의: 010-XXXX-XXXX",Y,2026-03-06 17:56:58
