우선순위점수,업종,업체명,주소,네이버플레이스,홈페이지,사이트분류,웹빌더,반응형,발견된문제,추천패키지,전화,이메일,카카오톡채널,카카오오픈채팅,인스타그램,페이스북,유튜브,네이버블로그,네이버톡톡,네이버예약,네이버카페,트위터,라인,틱톡,팩스,스마트스토어,전체연락수단,TM스크립트,문자템플릿,신규여부,수집일시
75,이삿짐센터,GS익스프레스 은평점,서울특별시 은평구 대조동 218-15,https://map.naver.com/v5/search/GS%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%20%EC%9D%80%ED%8F%89%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EB%8C%80%EC%A1%B0%EB%8F%99%20218-15,https://1004pr.co.kr/pr/s_pr/s125.php,자체홈페이지,,N,비반응형(모바일X) / 전화버튼없음 / 카톡버튼없음 / 지도없음,모바일 응급팩 (29~35만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. GS익스프레스 은평점 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼없음 상태입니다. 모바일 응급팩(29~35만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] GS익스프레스 은평점 대표님, 모바일에서 비반응형(모바일X), 전화버튼없음 확인됐습니다. 모바일 응급팩 29~35만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:22
75,이삿짐센터,e편한이사 응암점,서울특별시 은평구 응암동 42-45,https://map.naver.com/v5/search/e%ED%8E%B8%ED%95%9C%EC%9D%B4%EC%82%AC%20%EC%9D%91%EC%95%94%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%9D%91%EC%95%94%EB%8F%99%2042-45,http://www.e24mall.co.kr,자체홈페이지,,N,비반응형(모바일X) / 전화버튼없음 / 카톡버튼없음 / 지도없음,모바일 응급팩 (29~35만원),1566-2412 / 1544-9724,,,,,,,https://blog.naver.com/e24mall0,,,,,,,,,[전화] 1566-2412 | [전화] 1544-9724 | [네이버블로그] https://blog.naver.com/e24mall0,"안녕하세요 대표님. e편한이사 응암점 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼없음 상태입니다. 모바일 응급팩(29~35만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] e편한이사 응암점 대표님, 모바일에서 비반응형(모바일X), 전화버튼없음 확인됐습니다. 모바일 응급팩 29~35만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:23
75,중고차,장안평중고차시장,서울특별시 성동구 용답동 234,https://map.naver.com/v5/search/%EC%9E%A5%EC%95%88%ED%8F%89%EC%A4%91%EA%B3%A0%EC%B0%A8%EC%8B%9C%EC%9E%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234,http://www.tvcar.co.kr/,자체홈페이지,,N,비반응형(모바일X) / 전화버튼없음 / 카톡버튼없음 / 지도없음,모바일 응급팩 (29~35만원),02-2248-0452,ebongju@naver.com,,,,,,,,,,,,,,,[전화] 02-2248-0452 | [이메일] ebongju@naver.com,"안녕하세요 대표님. 장안평중고차시장 홈페이지 모바일에서 확인해보니 비반응형(모바일X), 전화버튼없음 상태입니다. 모바일 응급팩(29~35만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 장안평중고차시장 대표님, 모바일에서 비반응형(모바일X), 전화버튼없음 확인됐습니다. 모바일 응급팩 29~35만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:39
60,인테리어,스몰테이블,인천광역시 연수구 송도동 30-6 센텀하이브 A동 1301호,https://map.naver.com/v5/search/%EC%8A%A4%EB%AA%B0%ED%85%8C%EC%9D%B4%EB%B8%94%20%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%97%B0%EC%88%98%EA%B5%AC%20%EC%86%A1%EB%8F%84%EB%8F%99%2030-6%20%EC%84%BC%ED%85%80%ED%95%98%EC%9D%B4%EB%B8%8C%20A%EB%8F%99%201301%ED%98%B8,https://form.naver.com/response/4ZXRBcPQY7RtPSngQrH--A,자체홈페이지,,Y,전화버튼없음 / 카톡버튼없음 / 문의폼없음 / 지도없음,모바일 응급팩 (29~35만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 스몰테이블 홈페이지 모바일에서 확인해보니 전화버튼없음, 카톡버튼없음 상태입니다. 모바일 응급팩(29~35만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 스몰테이블 대표님, 모바일에서 전화버튼없음, 카톡버튼없음 확인됐습니다. 모바일 응급팩 29~35만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:35
45,공인중개사,파크다옴부동산공인중개사사무소,경기도 부천시 원미구 약대동 182-57 1층일부,https://map.naver.com/v5/search/%ED%8C%8C%ED%81%AC%EB%8B%A4%EC%98%B4%EB%B6%80%EB%8F%99%EC%82%B0%EA%B3%B5%EC%9D%B8%EC%A4%91%EA%B0%9C%EC%82%AC%EC%82%AC%EB%AC%B4%EC%86%8C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%B6%80%EC%B2%9C%EC%8B%9C%20%EC%9B%90%EB%AF%B8%EA%B5%AC%20%EC%95%BD%EB%8C%80%EB%8F%99%20182-57%201%EC%B8%B5%EC%9D%BC%EB%B6%80,http://파크다옴부동산.kr,자체홈페이지,,Y,전화버튼없음 / 카톡버튼없음 / 지도없음,전환형 패키지 (19~22만원),032-710-7471,,,,https://instagram.com/dingd0ng_dang,,,,,,,,,,,,[전화] 032-710-7471 | [인스타그램] https://instagram.com/dingd0ng_dang | [네이버플레이스] https://naver.me/GoikyUw3,"안녕하세요 대표님. 파크다옴부동산공인중개사사무소 홈페이지 모바일에서 확인해보니 전화버튼없음, 카톡버튼없음 상태입니다. 전환형 패키지(19~22만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 파크다옴부동산공인중개사사무소 대표님, 모바일에서 전화버튼없음, 카톡버튼없음 확인됐습니다. 전환형 패키지 19~22만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:26
35,중고차,장안평중고차시장 U삼진랜드,"서울특별시 성동구 용답동 234 C동2층 29,30,31호",https://map.naver.com/v5/search/%EC%9E%A5%EC%95%88%ED%8F%89%EC%A4%91%EA%B3%A0%EC%B0%A8%EC%8B%9C%EC%9E%A5%20U%EC%82%BC%EC%A7%84%EB%9E%9C%EB%93%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234%20C%EB%8F%992%EC%B8%B5%2029%2C30%2C31%ED%98%B8,http://www.usj.kr/,자체홈페이지,,Y,전화버튼없음 / 카톡버튼없음,스타터팩 (10~12만원),02-2246-4000 / 02-2249-1791 / 1500-1800,rivermv@empal.com / sjumc@hanmail.net,,,,,,https://blog.naver.com/sjumc,,,https://cafe.naver.com/samjinland,,,,,,[전화] 02-2246-4000 | [전화] 02-2249-1791 | [전화] 1500-1800 | [이메일] rivermv@empal.com | [이메일] sjumc@hanmail.net | [네이버블로그] https://blog.naver.com/sjumc | [네이버카페] https://cafe.naver.com/samjinland,"안녕하세요 대표님. 장안평중고차시장 U삼진랜드 홈페이지 모바일에서 확인해보니 전화버튼없음, 카톡버튼없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 장안평중고차시장 U삼진랜드 대표님, 모바일에서 전화버튼없음, 카톡버튼없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:41
25,중고차,천하자동차 볼보 SELEKT 성수전시장,서울특별시 성동구 용답동 238-1 3층 304호~306호,https://map.naver.com/v5/search/%EC%B2%9C%ED%95%98%EC%9E%90%EB%8F%99%EC%B0%A8%20%EB%B3%BC%EB%B3%B4%20SELEKT%20%EC%84%B1%EC%88%98%EC%A0%84%EC%8B%9C%EC%9E%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20238-1%203%EC%B8%B5%20304%ED%98%B8~306%ED%98%B8,https://ch.volvocars.co.kr/sales/volvo_selekt.asp,자체홈페이지,,Y,카톡버튼없음 / 지도없음,스타터팩 (10~12만원),0222128855 / 0315637000 / 0315550070 / 027978800 / 0222165500 / 0315631234 / 0315621234 / 02-6956-4994 / 031-8025-6789 / 15361536 / 1588-1777 / 1588-8040,,,,https://instagram.com/volvo_cheonha_auto,https://facebook.com/CheonHaAuto,https://youtube.com/channel/UCyZk3V2z0Xa2mSXwYIOrciw,https://blog.naver.com/NBlogTop,,,,,,,,,[전화] 0222128855 | [전화] 0315637000 | [전화] 0315550070 | [전화] 027978800 | [전화] 0222165500 | [전화] 0315631234 | [전화] 0315621234 | [전화] 02-6956-4994 | [전화] 031-8025-6789 | [전화] 15361536 | [전화] 1588-1777 | [전화] 1588-8040 | [인스타그램] https://instagram.com/volvo_cheonha_auto | [페이스북] https://facebook.com/CheonHaAuto | [유튜브] https://youtube.com/channel/UCyZk3V2z0Xa2mSXwYIOrciw | [네이버블로그] https://blog.naver.com/NBlogTop,"안녕하세요 대표님. 천하자동차 볼보 SELEKT 성수전시장 홈페이지 모바일에서 확인해보니 카톡버튼없음, 지도없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 천하자동차 볼보 SELEKT 성수전시장 대표님, 모바일에서 카톡버튼없음, 지도없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:43
10,인테리어,셋어컨셉 인천송도,인천광역시 연수구 송도동 17-1,https://map.naver.com/v5/search/%EC%85%8B%EC%96%B4%EC%BB%A8%EC%85%89%20%EC%9D%B8%EC%B2%9C%EC%86%A1%EB%8F%84%20%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%97%B0%EC%88%98%EA%B5%AC%20%EC%86%A1%EB%8F%84%EB%8F%99%2017-1,http://setaconcept.co.kr,자체홈페이지,,Y,지도없음,스타터팩 (10~12만원),07078180291 / 15321410,setaconcept@naver.com,https://pf.kakao.com/_hXPrK,,https://instagram.com/set.a.concept_official,,,https://blog.naver.com/setaconcept,,,,,,,,,[전화] 07078180291 | [전화] 15321410 | [이메일] setaconcept@naver.com | [카카오톡채널] https://pf.kakao.com/_hXPrK | [인스타그램] https://instagram.com/set.a.concept_official | [네이버블로그] https://blog.naver.com/setaconcept,"안녕하세요 대표님. 셋어컨셉 인천송도 홈페이지 모바일에서 확인해보니 지도없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 셋어컨셉 인천송도 대표님, 모바일에서 지도없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:33
,이삿짐센터,동아익스프레스,서울특별시 은평구 녹번동 221-2,https://map.naver.com/v5/search/%EB%8F%99%EC%95%84%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EB%85%B9%EB%B2%88%EB%8F%99%20221-2,http://www.donga24.kr,자체홈페이지,,확인불가,사이트접속불가,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 동아익스프레스 홈페이지 모바일에서 확인해보니 사이트접속불가 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 동아익스프레스 대표님, 모바일에서 사이트접속불가 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:20
,중고차,페라리인증중고차 서울전시장,서울특별시 성동구 성수동2가 280-38,https://map.naver.com/v5/search/%ED%8E%98%EB%9D%BC%EB%A6%AC%EC%9D%B8%EC%A6%9D%EC%A4%91%EA%B3%A0%EC%B0%A8%20%EC%84%9C%EC%9A%B8%EC%A0%84%EC%8B%9C%EC%9E%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EC%88%98%EB%8F%992%EA%B0%80%20280-38,https://seoul.ferraridealers.com/ko-KR/ferrari-approved,자체홈페이지,,확인불가,사이트접속불가,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 페라리인증중고차 서울전시장 홈페이지 모바일에서 확인해보니 사이트접속불가 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 페라리인증중고차 서울전시장 대표님, 모바일에서 사이트접속불가 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:54:39
