우선순위점수,업종,업체명,주소,네이버플레이스,홈페이지,사이트분류,웹빌더,반응형,발견된문제,추천패키지,전화,이메일,카카오톡채널,카카오오픈채팅,인스타그램,페이스북,유튜브,네이버블로그,네이버톡톡,네이버예약,네이버카페,트위터,라인,틱톡,팩스,스마트스토어,전체연락수단,TM스크립트,문자템플릿,신규여부,수집일시
,중고차,서희모터스,서울특별시 도봉구 쌍문동 378-4,https://map.naver.com/v5/search/%EC%84%9C%ED%9D%AC%EB%AA%A8%ED%84%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%8C%8D%EB%AC%B8%EB%8F%99%20378-4,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 서희모터스 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 서희모터스 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:01
,중고차,우덕모터스,서울특별시 도봉구 도봉동 636-15 중고자동차,https://map.naver.com/v5/search/%EC%9A%B0%EB%8D%95%EB%AA%A8%ED%84%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EB%8F%84%EB%B4%89%EB%8F%99%20636-15%20%EC%A4%91%EA%B3%A0%EC%9E%90%EB%8F%99%EC%B0%A8,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 우덕모터스 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 우덕모터스 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:01
,중고차,탁월한선택,서울특별시 도봉구 방학동 668-32,https://map.naver.com/v5/search/%ED%83%81%EC%9B%94%ED%95%9C%EC%84%A0%ED%83%9D%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EB%B0%A9%ED%95%99%EB%8F%99%20668-32,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 탁월한선택 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 탁월한선택 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:01
,중고차,굿모닝중고차매매상사,서울특별시 도봉구 창동 659-4,https://map.naver.com/v5/search/%EA%B5%BF%EB%AA%A8%EB%8B%9D%EC%A4%91%EA%B3%A0%EC%B0%A8%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20659-4,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 굿모닝중고차매매상사 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 굿모닝중고차매매상사 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:01
,중고차,도봉구중고차매매제일중고차,서울특별시 도봉구 쌍문동 680-1 1층 2호,https://map.naver.com/v5/search/%EB%8F%84%EB%B4%89%EA%B5%AC%EC%A4%91%EA%B3%A0%EC%B0%A8%EB%A7%A4%EB%A7%A4%EC%A0%9C%EC%9D%BC%EC%A4%91%EA%B3%A0%EC%B0%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%8C%8D%EB%AC%B8%EB%8F%99%20680-1%201%EC%B8%B5%202%ED%98%B8,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 도봉구중고차매매제일중고차 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 도봉구중고차매매제일중고차 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:01
,방과후학교,한국방과후학교교사연합회,서울특별시 금천구 가산동 680,https://map.naver.com/v5/search/%ED%95%9C%EA%B5%AD%EB%B0%A9%EA%B3%BC%ED%9B%84%ED%95%99%EA%B5%90%EA%B5%90%EC%82%AC%EC%97%B0%ED%95%A9%ED%9A%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EA%B0%80%EC%82%B0%EB%8F%99%20680,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 한국방과후학교교사연합회 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 한국방과후학교교사연합회 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:06
,방과후학교,영서초등학교방과후교실,서울특별시 구로구 구로3동 165-1,https://map.naver.com/v5/search/%EC%98%81%EC%84%9C%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90%EB%B0%A9%EA%B3%BC%ED%9B%84%EA%B5%90%EC%8B%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B5%AC%EB%A1%9C3%EB%8F%99%20165-1,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 영서초등학교방과후교실 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 영서초등학교방과후교실 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:06
,오피스텔분양,"강남르피에드인강남역초역세권,프리미엄오피스텔분양상담",서울특별시 강남구 신사동,https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EB%A5%B4%ED%94%BC%EC%97%90%EB%93%9C%EC%9D%B8%EA%B0%95%EB%82%A8%EC%97%AD%EC%B4%88%EC%97%AD%EC%84%B8%EA%B6%8C%2C%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%EC%98%A4%ED%94%BC%EC%8A%A4%ED%85%94%EB%B6%84%EC%96%91%EC%83%81%EB%8B%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 강남르피에드인강남역초역세권,프리미엄오피스텔분양상담 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 강남르피에드인강남역초역세권,프리미엄오피스텔분양상담 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:23
,오피스텔분양,"강남르피에드인강남역초역세권,프리미엄오피스텔분양상담",서울특별시 강남구 청담동,https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EB%A5%B4%ED%94%BC%EC%97%90%EB%93%9C%EC%9D%B8%EA%B0%95%EB%82%A8%EC%97%AD%EC%B4%88%EC%97%AD%EC%84%B8%EA%B6%8C%2C%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%EC%98%A4%ED%94%BC%EC%8A%A4%ED%85%94%EB%B6%84%EC%96%91%EC%83%81%EB%8B%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%B2%AD%EB%8B%B4%EB%8F%99,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 강남르피에드인강남역초역세권,프리미엄오피스텔분양상담 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 강남르피에드인강남역초역세권,프리미엄오피스텔분양상담 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:23
,게스트하우스,아띠하우스 2,서울특별시 강북구 미아동 125-11 아띠하우스2,https://map.naver.com/v5/search/%EC%95%84%EB%9D%A0%ED%95%98%EC%9A%B0%EC%8A%A4%202%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%B6%81%EA%B5%AC%20%EB%AF%B8%EC%95%84%EB%8F%99%20125-11%20%EC%95%84%EB%9D%A0%ED%95%98%EC%9A%B0%EC%8A%A42,,홈페이지없음,,확인불가,홈페이지없음,스타터팩 (10~12만원),,,,,,,,,,,,,,,,,,"안녕하세요 대표님. 아띠하우스 2 홈페이지 모바일에서 확인해보니 홈페이지없음 상태입니다. 스타터팩(10~12만원)로 24시간 내 개선 가능한데, 전후 비교 시안 보내드릴까요?","[웹사이트 개선] 아띠하우스 2 대표님, 모바일에서 홈페이지없음 확인됐습니다. 스타터팩 10~12만원으로 24시간 내 개선 가능합니다. 전후비교시안 무료. 문의:010-XXXX-XXXX",Y,2026-03-06 18:41:25
