ï»¿업체명,주소,전화번호,업종,지역,홈페이지,이메일,플레이스URL,톡톡활성
서울라인치과의원,서울특별시 중구 남대문로2가 130 롯데백화점에비뉴엘 10F,,치과,서울,http://www.seoullinedental.co.kr/,,https://m.place.naver.com/place/35242181,Y
서울새봄플란트치과의원,서울특별시 종로구 세종로 211 15층 1501호,,치과,서울,http://saebomdc.co.kr/,,https://m.place.naver.com/place/2008981843,Y
서울역예치과의원,서울특별시 용산구 서계동 219-1,,치과,서울,https://blog.naver.com/cerni9711227j,,https://m.place.naver.com/place/19520076,Y
시청서울구강내과치과의원,서울특별시 중구 무교동 24-2 7층 (세븐일레븐 건물),,치과,서울,http://www.seoulcitydental.com/,,https://m.place.naver.com/place/1497468608,Y
서울바움치과의원,서울특별시 중구 서소문동 34 한화빌딩 2층,,치과,서울,https://www.seoulbaum.com/,,,N
365드림치과병원 부산수영,부산광역시 수영구 광안동 1070-8 8~12층,1660-2811,치과,부산,https://blog.naver.com/365dreamdental2024,,https://m.place.naver.com/place/1286518554,Y
바른윤곽치과병원 서면,부산광역시 부산진구 부전동 397-14 영광도서빌딩 13-14층 바른윤곽치과병원,051-714-2822,치과,부산,https://naver.me/xgNQPEco,,https://m.place.naver.com/place/33647236,Y
서면오늘플란트치과의원,부산광역시 부산진구 부전동 260-5 4층 6층 7층,,치과,부산,http://www.today-plant.com/,,https://m.place.naver.com/place/1060480489,Y
리셋치과의원 부산서면,"부산광역시 부산진구 부전동 426-2 12, 13층",,치과,부산,https://litt.ly/reset.dent,,https://m.place.naver.com/place/1817057026,Y
고르다치과의원 부산점,부산광역시 부산진구 부전동 266-2 1층,,치과,부산,https://gorudabu.co.kr,,https://m.place.naver.com/place/1522550380,Y
일곱가지약속치과의원,대구광역시 달서구 상인동 72-3 센트로타워 5층 일곱가지약속치과의원,,치과,대구,https://blog.naver.com/savenpromisedental,,https://m.place.naver.com/place/34960735,Y
서울탑플란트치과의원,대구광역시 수성구 범어동 33-16 3층,,치과,대구,http://www.서울탑플란트치과.com,,https://m.place.naver.com/place/1299497887,Y
제우스치과의원,대구광역시 중구 남일동 135-1 3층,1660-1618,치과,대구,http://zeusdental.co.kr/,,https://m.place.naver.com/place/2097877011,Y
굿티스치과의원,"대구광역시 수성구 수성동4가 1085-37 스마트스퀘어 4, 5, 6층",053-712-9999,치과,대구,https://www.goodtis.com,,https://m.place.naver.com/place/1090088415,Y
수성더원치과의원,대구광역시 수성구 중동 99-1 3층,,치과,대구,http://www.theonedental.kr,,https://m.place.naver.com/place/1106175068,?
라이브치과병원 인천부평,"인천광역시 부평구 부평동 206-1 라이브빌딩 2, 3층",032-502-2279,치과,인천,https://www.liveliveh.com/,,https://m.place.naver.com/place/35497766,Y
서울그랜드치과의원,"인천광역시 미추홀구 주안동 1005-7 1,2층",,치과,인천,http://seoulgrand.com/,,https://m.place.naver.com/place/1046043511,Y
서울티플란트치과의원,인천광역시 부평구 부평동 534-28 6층,,치과,인천,http://stpdental.co.kr,,https://m.place.naver.com/place/13518558,Y
더케이365치과병원 인천본점,인천광역시 계양구 계산동 1063-9,1555-3650,치과,인천,https://youtube.com/@miri.miri.?si=YGq2DxeHwd8rjz2p,,https://m.place.naver.com/place/1966350660,Y
플란치과의원 인천 검단점,인천광역시 서구 원당동 1035-4 6층,032-564-7528,치과,인천,https://geomdanplan.co.kr/,,https://m.place.naver.com/place/1698942918,Y
완플란트치과의원 광주,"광주광역시 서구 치평동 1252-3 2층, 3층, 4층",,치과,광주,http://www.wanplant.com,,https://m.place.naver.com/place/1675858477,Y
효치과의원,광주광역시 서구 농성동 415-55 5층 효치과,02-487-2866,치과,광주,http://hyodent99.co.kr,,https://m.place.naver.com/place/11713098,Y
이클린치과의원 광주,광주광역시 남구 진월동 292 넥스타워 7층,,치과,광주,https://blog.naver.com/kkhhff22,,https://m.place.naver.com/place/13495294,?
퍼스트플란트치과의원,광주광역시 북구 운암동 1059-4 1층,062-528-7522,치과,광주,http://firstplantdental.com,,https://m.place.naver.com/place/1030438709,Y
수완스타치과의원 광주,광주광역시 광산구 수완동 1118 수완플러스 2층,,치과,광주,https://swstardental.com,,https://m.place.naver.com/place/1856461826,?
수연합치과의원 대전,대전광역시 서구 도마동 50-15 2층,042-583-7528,치과,대전,http://soo-dental.co.kr/,,https://m.place.naver.com/place/13246722,Y
