업체명,업종,주소,전화번호,톡톡URL,톡톡ID,플레이스URL
헬로우버디 애견유치원 애견호텔 대구달서점,유치원,대구광역시 달서구 장기동 566-1 2층,01044202213 / 050713259261 / 050713259261,http://talk.naver.com/w8wmd55?frm=mnmb&frm=nmb_detail#nafullscreen,w8wmd55,https://m.place.naver.com/place/2044455052
법률사무소 하얀,변호사사무소,서울특별시 강서구 마곡동 767 타워B동 3층,,http://talk.naver.com/w428fg?frm=mnmb&frm=nmb_detail#nafullscreen,w428fg,https://m.place.naver.com/place/1633942014
웨딩브라이트,웨딩촬영,서울특별시 중랑구 신내동 447-6 3층,,http://talk.naver.com/w480hz?frm=mnmb&frm=nmb_detail#nafullscreen,w480hz,https://m.place.naver.com/place/1134179115
용마랜드,웨딩촬영,서울특별시 중랑구 망우동 산69-1 용마랜드매표소,,http://talk.naver.com/wcd7t2?frm=mnmb&frm=nmb_detail#nafullscreen,wcd7t2,https://m.place.naver.com/place/13163164
사랑이야기스튜디오 중랑점,웨딩촬영,서울특별시 중랑구 면목동 161-34 화성빌딩 2층,01044353706 / 01044353706 / 020804112,http://talk.naver.com/wpzs57g?frm=mnmb&frm=nmb_detail#nafullscreen,wpzs57g,https://m.place.naver.com/place/37995580
리미도트,두피관리,경상북도 포항시 남구 효자동 601-7 2층,,http://talk.naver.com/w5wy8m?frm=mnmb&frm=nmb_detail#nafullscreen,w5wy8m,https://m.place.naver.com/place/1081160190
펀치박스 복싱 스튜디오 강남점,복싱,서울특별시 강남구 역삼동 839-15 B1층,025083332 / 025083332 / 025867770 / 025083332,http://talk.naver.com/wyjv8j2?frm=mnmb&frm=nmb_detail#nafullscreen,wyjv8j2,https://m.place.naver.com/place/1934725449
어바웃복싱,복싱,서울특별시 강남구 신사동 661 지하1층,,http://talk.naver.com/wbayf42?frm=mnmb&frm=nmb_detail#nafullscreen,wbayf42,https://m.place.naver.com/place/37691009
공유오피스 드림캐쳐스 전주전북도청점,부동산,전북특별자치도 전주시 완산구 효자동3가 1538-3 4층,,http://talk.naver.com/w6jd758?frm=mnmb&frm=nmb_detail#nafullscreen,w6jd758,https://m.place.naver.com/place/2043327168
전주 공유오피스 비상주사무실 스페이스잇 전주덕진점,부동산,전북특별자치도 전주시 덕진구 덕진동1가 664-6 3층,,http://talk.naver.com/w2r78z2?frm=mnmb&frm=nmb_detail#nafullscreen,w2r78z2,https://m.place.naver.com/place/1310100578
체리성형외과의원,성형외과,서울특별시 서대문구 대현동 104-5 신촌푸르지오시티 2층 204  205  206호,02-312-7712,http://talk.naver.com/wc5wea?frm=mnmb&frm=nmb_detail#nafullscreen,wc5wea,https://m.place.naver.com/place/1950467130
입주청소,청소업체,서울특별시 서대문구 창천동 503-8 2층,,http://talk.naver.com/w4150l?frm=mnmb&frm=nmb_detail#nafullscreen,w4150l,https://m.place.naver.com/place/1470124313
특수청소,청소업체,서울특별시 서대문구 홍제동 278-40 2층,02-3480-3573,http://talk.naver.com/wwe2hbc?frm=mnmb&frm=nmb_detail#nafullscreen,wwe2hbc,https://m.place.naver.com/place/2070931740
입주청소,청소업체,서울특별시 서대문구 창천동 72-22 1312호,024001252,http://talk.naver.com/w40ztd?frm=mnmb&frm=nmb_detail#nafullscreen,w40ztd,https://m.place.naver.com/place/1868604447
강북에어컨청소,에어컨청소,서울특별시 강북구 번동 222 2층 201-A148호,024001252,http://talk.naver.com/w4kzvn?frm=pnmb&frm=nmb_detail#nafullscreen,w4kzvn,https://m.place.naver.com/place/2081053499
다함디자인크린,에어컨청소,서울특별시 강북구 수유동 247-49 1층,01075114319 / 01075114319,http://talk.naver.com/w4cfum?frm=mnmb&frm=nmb_detail#nafullscreen,w4cfum,https://m.place.naver.com/place/1347047748
반짝연구소,에어컨청소,서울특별시 강북구 번동 656 1층,0319770347,http://talk.naver.com/w4dvsa?frm=mnmb&frm=nmb_detail#nafullscreen,w4dvsa,https://m.place.naver.com/place/1006037102
