ï»¿업종(키워드),상호명,업체이메일,안심번호,업체주소,홈페이지URL,방문자리뷰수,블로그리뷰수,네이버아이디,고유번호,플레이스URL,업데이트날짜
서면 피부과,이현재피부과의원 부산서면,,0507-1398-7702,부산 부산진구 서면로 74 아이온시티빌딩 6층,X,3025,9039,hanmgje6@naver.com,1280489603,https://m.place.naver.com/place/1280489603,2026-03-21
서면 피부과,밴스의원 부산,,051-791-0650,"부산 부산진구 서면로 48 현경빌딩 2,3,4층 밴스의원 부산",X,3454,6167,vandscbs2@naver.com,1554409204,https://m.place.naver.com/place/1554409204,2026-03-21
서면 피부과,미엘르의원 부산서면,,051-806-0020,부산 부산진구 서면로 48 현경메디컬빌딩 7층,X,298,6167,wigrte15@naver.com,21560458,https://m.place.naver.com/place/21560458,2026-03-21
서면 피부과,데이뷰의원 부산서면점,,0507-1393-7892,부산 부산진구 서면로 74 제15층 제1501호,X,1865,6473,ego72191@naver.com,2002924121,https://m.place.naver.com/place/2002924121,2026-03-21
서면 피부과,블리비의원 부산서면점,,1833-8280,"부산 부산진구 중앙대로 694 쥬디스태화본관 3층, 5층",X,2581,6409,vvips89@naver.com,1150285222,https://m.place.naver.com/place/1150285222,2026-03-21
서면 피부과,필스톡스의원,,,부산 부산진구 중앙대로 696 4~5층,X,340,604,leejw3988@naver.com,34269450,https://m.place.naver.com/place/34269450,2026-03-21
서면 피부과,지니어스의원,,,부산 부산진구 중앙대로691번길 5 천우빌딩 3층,X,244,89,4eversmbusan@naver.com,1057806171,https://m.place.naver.com/place/1057806171,2026-03-21
서면 피부과,박피부과의원,,051-811-1201,부산 부산진구 동천로 116 한신밴,X,664,3,nbderma@naver.com,13251895,https://m.place.naver.com/place/13251895,2026-03-21
서면 피부과,고운얼굴의원,,051-635-7572,부산 부산진구 범일로 133-1 3층,X,205,1074,spahx@naver.com,19528127,https://m.place.naver.com/place/19528127,2026-03-21
서면 피부과,바로그의원 서면역,,0507-1449-4433,"부산 부산진구 중앙대로691번길 9 2층, 3층",X,1861,5889,gaussgood@naver.com,1727090518,https://m.place.naver.com/place/1727090518,2026-03-21
서면 피부과,바노바기의원 부산,,051-711-6508,부산 부산진구 서면로 74 아이온시티빌딩 16층 1602호,X,3046,13393,dores457@naver.com,1817665838,https://m.place.naver.com/place/1817665838,2026-03-21
서면 피부과,리제피부과의원 부산서면,,051-804-7553,부산 부산진구 가야대로 769 ABC메디컬센터 6층 리제피부과의원,X,1478,1728,perom1998@naver.com,38331589,https://m.place.naver.com/place/38331589,2026-03-21
서면 피부과,스노우의원 부산서면점,,0507-1303-6616,부산 부산진구 중앙대로 736 10층,X,1423,1742,snowclinic_bs@naver.com,2097969138,https://m.place.naver.com/place/2097969138,2026-03-21
